flight,clip_type,bushiness_100m,max_windspeed,mean_windspeed
001-01,first,,8.54,7.429473684210528
002-01,first,,12.47,11.208333333333334
003-01,first,,12.7,10.10875
004-01,first,,14.61,12.38619047619048
005-01,first,,15.06,13.3825
006-01,first,,14.29,13.05478260869565
007-01,first,,14.28,11.514545454545454
008-01,first,,8.39,6.861739130434782
009-01,first,,10.26,9.6535
010-01,first,,10.17,8.013499999999997
011-01,first,,9.94,8.065
012-01,first,,9.05,7.65875
013-01,first,0.2386042001445773,4.14,3.165
014-01,first,0.0753426032389593,4.63,3.6675000000000004
015-01,first,0.0760026419173272,3.02,2.29
016-01,first,0.2577493768088068,8.09,7.330454545454544
017-01,first,0.0975479794698918,2.56,1.78
018-01,first,0.0586560139383864,1.51,0.74125
019-01,first,0.0155514240587363,6.05,4.72
021-01,first,0.2043071836053024,5.91,4.842999999999999
022-01,first,,9.78,7.88391304347826
023-01,first,,12.29,10.937727272727274
024-01,first,,10.22,9.325263157894735
025-01,first,0.0046048924847707,5.13,4.399375
025-02,first,0.0104764628933198,2.08,1.922
025-03,first,0.027247346937581,1.95,1.4266666666666667
026-01,first,0.0714856237771972,5.46,3.5941666666666663
026-02,first,0.0839348240171841,6.67,5.5704347826086975
027-01,first,0.2474003724937354,6.58,5.587058823529412
028-01,first,0.0822202472374517,7.34,6.773333333333333
028-02,first,0.0915107610121035,6.58,5.746666666666667
029-01,first,0.01194320825167,11.18,10.047826086956523
029-02,first,0.0123729401964014,8.26,6.424782608695652
030-01,first,0.2334309400413514,8.47,6.470416666666666
030-02,first,0.2477284058163599,7.06,5.9975
031-032-01,first,0.12856373198971,6.53,5.675294117647058
031-032-02,first,0.1212114093759222,6.7,5.350476190476191
031-032-03,first,0.1254441212353473,7.95,7.328333333333333
033-01,first,0.0191071857992068,6.69,6.130000000000001
033-02,first,0.0223219361780394,5.85,4.950555555555557
034-01,first,0.0246709539155179,8.31,6.812857142857143
035-01,first,0.018341145682524,12.62,11.003157894736843
036-01,first,0.0,5.61,3.7043749999999998
037-01,first,0.0209123209545558,7.81,7.127391304347825
037-02,first,0.0206880189667134,8.5,7.864444444444445
038-01,first,0.1080146317721351,8.84,6.815416666666667
038-02,first,0.1101988314281694,7.93,6.739599999999999
039-01,first,0.047775967621323,6.94,5.108499999999999
039-02,first,0.0498551741171323,5.84,5.1190476190476195
039-03,first,0.0508621491058731,9.12,7.105238095238096
040-01,first,,7.27,6.55
041-01,first,0.2443534032642728,4.08,3.123125
041-02,first,0.2451694470862603,5.69,5.185294117647059
041-03,first,0.2311012884397925,3.16,2.4976190476190476
041-04,first,0.1994803485062242,1.53,0.8090476190476191
041-05,first,0.1847442492996369,3.3,2.897142857142857
042-01,first,0.1266762915111133,7.09,5.660869565217391
042-02,first,0.1129759078059665,8.98,6.276666666666666
043-01,first,0.2364467173993294,6.91,5.968500000000001
044-01,first,0.0104106392172541,9.09,8.345555555555556
045-01,first,0.0067808096318333,7.29,6.4047368421052635
045-02,first,0.0132437944720733,8.85,7.723749999999999
045-03,first,0.0125266200838702,6.94,5.507999999999999
046-01,first,0.0105652135982824,6.09,5.526666666666666
047-01,first,0.0095615312809968,7.47,6.383571428571428
047-02,first,0.0079325072496656,6.22,4.832380952380952
048-01,first,0.1530446785931115,8.05,6.909285714285715
049-01,first,0.0931141454485824,8.69,8.29111111111111
049-02,first,0.0892222034721139,12.31,10.5815
050-01,first,0.051113385841883,7.32,6.2700000000000005
050-02,first,0.0561621635827784,7.51,6.4327272727272735
050-03,first,0.0197166346680561,5.58,4.695499999999999
051-01,first,0.1856213570550635,2.72,1.88875
051-02,first,0.210672330063112,3.04,2.6592857142857147
052-01,first,0.1007365676983498,3.35,2.6357142857142852
052-02,first,0.1039089173172869,4.81,3.5959999999999996
053-01,first,0.1989456713436144,3.99,2.91625
053-02,first,0.2205718858603781,8.41,7.08590909090909
054-03,first,0.0031066826334591,8.11,6.752916666666667
055-01,first,0.1287412293838145,9.49,7.775909090909093
055-02,first,0.148860989738389,7.1,6.171176470588235
056-01,first,0.0576629773695156,8.57,6.814999999999999
056-02,first,0.0635055844922616,7.82,7.095999999999999
057-01,first,0.2265611266239902,4.06,3.022631578947369
058-01,first,0.1447160222869037,6.49,4.22875
058-02,first,0.1255354210928729,5.86,4.4460869565217385
059-01,first,0.0704494042556238,2.98,1.691818181818182
059-02,first,0.079386789373165,4.56,3.823157894736843
061-01,first,0.2913298061191973,4.7,3.9833333333333325
061-02,first,0.24631006910096,3.58,2.928095238095238
061-03,first,0.2561507288408028,3.11,2.4904347826086957
062-01,first,0.2407535536013594,1.14,0.669
062-02,first,0.1406245552446875,3.44,2.947826086956522
062-03,first,0.1620500214174977,4.19,3.177647058823529
063-01,first,0.0490631542841831,9.52,8.35
063-02,first,0.0493496639771637,8.24,6.585714285714286
063-03,first,0.0493739759620093,8.56,7.615
064-01,first,0.0749939354148729,2.43,1.7645
064-02,first,0.0885890896582528,5.57,4.519583333333333
064-03,first,0.0885056545338707,4.75,3.633043478260869
065-01,first,0.0770190368911198,4.94,4.123913043478261
065-02,first,0.0779694030811326,4.12,3.139130434782609
065-03,first,0.0780715247059058,5.23,4.2677272727272735
066-01,first,0.0436590476255435,3.81,2.9771428571428573
066-02,first,0.021588422841486,2.07,1.1419047619047618
066-03,first,0.0252757431632699,4.95,3.196
067-01,first,,6.23,5.7333333333333325
068-01,first,0.08310256571066,6.44,5.975416666666665
068-02,first,0.0816185615917176,6.91,5.78181818181818
068-03,first,0.0752126664800978,6.52,5.6825
069-01,first,0.2783706087524698,4.79,3.5195652173913046
070-01,first,0.0033387518637102,5.6,5.218571428571429
070-02,first,0.0041154252189823,5.19,4.606818181818181
070-03,first,0.0040152712855998,3.44,2.8177272727272724
071-01,first,0.2280467881084096,1.56,1.243125
071-02,first,0.1551630629383181,5.31,4.2309090909090905
071-03,first,0.1482027958370945,6.59,6.036086956521738
072-01,first,0.0776912688460788,7.4,5.164761904761905
072-02,first,0.1124978937494901,7.59,6.892941176470589
073-01,first,0.1529927394702957,4.8,4.1409090909090915
073-02,first,0.1460768248690934,7.01,6.2109523809523814
074-01,first,0.1161042579008472,5.27,4.698333333333333
074-02,first,0.1144503845129363,4.61,4.179130434782608
074-03,first,0.1143287690885235,4.85,4.405833333333333
075-01,first,0.1577670941390829,7.76,7.119583333333334
075-02,first,0.1669209230453136,2.96,1.8872222222222221
076-01,first,0.0047208539150588,2.65,2.65
077-01,first,0.034580982958092,4.66,4.66
078-01,first,0.1220104958494378,11.31,8.845555555555556
078-02,first,0.2685603664649028,8.15,6.145384615384615
078-03,first,0.4151044866344429,8.27,7.524615384615384
079-01,first,0.1590335899055622,8.51,7.32304347826087
079-02,first,0.284971853216696,6.88,5.889999999999999
080-01,first,0.0943109016318978,4.49,3.6315789473684212
080-02,first,0.1060746443563925,2.96,2.2976470588235296
080-03,first,0.1526744293918501,4.47,3.3005263157894733
081-01,first,0.0178892855829762,6.19,5.306470588235294
081-02,first,0.0224496550045774,7.03,6.652857142857144
081-03,first,0.0629384763072724,3.79,2.9054999999999995
082-01,first,0.0020955596850676,3.95,1.8679999999999999
082-02,first,0.0032407322480163,4.91,4.460000000000001
082-03,first,0.0045231823282117,5.66,5.017727272727273
083-01,first,0.0049781887941128,7.84,6.234999999999999
083-02,first,0.0132873287331255,3.93,3.2227777777777775
083-03,first,0.0121921160952472,2.93,1.9676470588235295
084-01,first,0.1748061795971429,3.85,3.29875
084-02,first,0.1662859117956502,4.22,2.782631578947368
084-03,first,0.1748852278809787,3.39,2.511764705882353
085-01,first,0.1030509016920442,7.1,5.850434782608696
085-02,first,0.1095746981870405,5.8,5.239130434782608
085-03,first,0.1102626494364087,5.32,4.76304347826087
086-01,first,0.2853751740132845,8.03,7.050909090909091
087-01,first,0.200665592229058,5.23,4.110454545454546
087-02,first,0.2134634185046263,7.04,5.920833333333333
087-04,first,0.2019342480465167,3.14,2.718695652173913
087-05,first,0.2292684119271698,5.82,4.8792857142857144
088-01,first,0.0386850916232617,3.59,2.7025
088-02,first,0.1007975023511128,7.29,5.9433333333333325
088-03,first,0.1315682705776335,6.2,5.03590909090909
089-01,first,0.1697336680910933,7.93,7.40153846153846
089-02,first,0.1893767728898382,6.12,5.3509090909090915
090-01,first,0.1618598903772825,6.33,5.103
090-02,first,0.1717595827510481,6.49,4.858095238095238
090-03,first,0.2217679864309985,6.62,5.564500000000001
091-01,first,,2.29,2.033888888888889
092-01,first,,4.38,3.8666666666666663
093-01,first,,3.57,2.92125
093-02,first,,2.19,1.349090909090909
093-03,first,,2.44,1.6711764705882353
094-01,first,,3.78,3.342083333333333
094-02,first,,3.24,2.4099999999999997
094-03,first,,1.9,1.5531578947368423
094-04,first,,3.38,2.3457142857142856
095-01,first,,4.82,3.9880952380952372
095-02,first,,4.9,4.060555555555556
096-01,first,,5.06,4.14952380952381
096-02,first,,3.52,2.895
097-01,first,,6.19,5.472857142857143
098-01,first,,4.55,2.4307692307692306
099-01,first,,5.23,4.564761904761905
100-01,first,,4.51,3.615
101-01,first,0.0495194830194271,7.2,6.268571428571428
101-02,first,0.0940829189506647,6.25,5.0488888888888885
101-03,first,0.250500301456744,5.96,4.301428571428571
102-01,first,0.1407370116534854,5.01,3.9145000000000003
102-02,first,0.1278302177152356,4.64,4.11913043478261
103-01,first,0.1514885431663466,3.3,2.7078947368421056
103-02,first,0.1343336468196551,3.59,2.848095238095238
103-03,first,0.1113584390633332,3.46,2.401764705882353
104-01,first,0.0038569463974969,3.82,2.6694444444444443
104-02,first,0.0133416667347829,4.85,4.215833333333333
104-03,first,0.0108548801865356,4.81,3.9378260869565223
105-01,first,0.2118486289564942,3.26,2.32
105-02,first,0.0678960929978129,2.31,1.0047619047619047
106-01,first,0.186050506915418,2.83,2.5386363636363636
106-02,first,0.151790192371585,3.45,3.2070833333333333
106-03,first,0.1535337573405102,6.1,5.841500000000001
107-01,first,0.0704633644825085,4.45,4.186111111111111
107-02,first,0.073570065419014,3.96,3.4033333333333333
107-03,first,0.0753157302423757,2.96,1.8380000000000003
108-01,first,0.063329126166467,1.3,0.6866666666666666
109-01,first,0.0130190909383603,4.34,3.5760869565217392
109-02,first,0.0133208614174367,6.91,6.562499999999999
110-01,first,0.0175196822400918,3.75,2.783684210526316
110-02,first,0.019244223555859,3.89,3.2899999999999996
110-03,first,0.0204578874543869,3.9,3.418823529411765
110-04,first,0.0174569361160714,4.1,3.723684210526316
111-01,first,0.1312625123430936,4.53,3.66
111-02,first,0.1255367492291154,5.98,5.242777777777778
111-03,first,0.1295471951807736,6.34,4.669545454545454
112-01,first,0.0287579058206349,7.76,7.354210526315789
112-02,first,0.0284191695711802,6.87,4.69625
113-01,first,0.151997995976114,2.37,1.7289999999999999
113-02,first,0.1385938474092252,2.98,2.5882608695652176
114-01,first,0.1130570764769806,1.73,1.3272727272727272
114-02,first,0.1224405304725733,1.69,1.1937499999999999
114-03,first,0.1294245218714937,3.61,2.922608695652174
115-01,first,0.0095073917002997,5.51,4.642666666666668
115-02,first,0.0134274885596152,5.09,3.9750000000000005
115-03,first,0.0063332288462545,5.04,4.121538461538462
