flight,clip_type,bushiness_100m
001-01,first,
002-01,first,
003-01,first,
004-01,first,
005-01,first,
006-01,first,
007-01,first,
008-01,first,
009-01,first,
010-01,first,
011-01,first,
012-01,first,
013-01,first,0.23860420014457734
014-01,first,0.0753426032389593
015-01,first,0.0760026419173272
016-01,first,0.25774937680880683
017-01,first,0.09754797946989181
018-01,first,0.05865601393838645
019-01,first,0.015551424058736302
021-01,first,0.20430718360530242
022-01,first,
023-01,first,
024-01,first,
025-01,first,0.00460489248477076
025-02,first,0.010476462893319891
025-03,first,0.02724734693758103
026-01,first,0.07148562377719722
026-02,first,0.08393482401718412
027-01,first,0.24740037249373545
028-01,first,0.0822202472374517
028-02,first,0.09151076101210355
029-01,first,0.011943208251670044
029-02,first,0.012372940196401406
030-01,first,0.23343094004135148
030-02,first,0.24772840581635994
031-032-01,first,0.12856373198971005
031-032-02,first,0.12121140937592227
031-032-03,first,0.12544412123534732
033-01,first,0.019107185799206845
033-02,first,0.022321936178039438
034-01,first,0.024670953915517914
035-01,first,0.01834114568252408
036-01,first,0.0
037-01,first,0.020912320954555835
037-02,first,0.020688018966713406
038-01,first,0.1080146317721351
038-02,first,0.11019883142816948
039-01,first,0.04777596762132301
039-02,first,0.04985517411713236
039-03,first,0.05086214910587315
040-01,first,
041-01,first,0.24435340326427285
041-02,first,0.2451694470862603
041-03,first,0.2311012884397925
041-04,first,0.19948034850622426
041-05,first,0.18474424929963698
042-01,first,0.12667629151111334
042-02,first,0.11297590780596656
043-01,first,0.23644671739932943
044-01,first,0.010410639217254186
045-01,first,0.006780809631833372
045-02,first,0.013243794472073358
045-03,first,0.01252662008387027
046-01,first,0.010565213598282415
047-01,first,0.009561531280996845
047-02,first,0.00793250724966563
048-01,first,0.15304467859311158
049-01,first,0.09311414544858242
049-02,first,0.08922220347211395
050-01,first,0.05111338584188308
050-02,first,0.05616216358277847
050-03,first,0.019716634668056118
051-01,first,0.18562135705506355
051-02,first,0.21067233006311203
052-01,first,0.10073656769834988
052-02,first,0.10390891731728691
053-01,first,0.19894567134361446
053-02,first,0.22057188586037818
054-03,first,0.0031066826334591557
055-01,first,0.1287412293838145
055-02,first,0.14886098973838904
056-01,first,0.05766297736951561
056-02,first,0.06350558449226165
057-01,first,0.22656112662399022
058-01,first,0.14471602228690372
058-02,first,0.12553542109287294
059-01,first,0.07044940425562382
059-02,first,0.07938678937316505
061-01,first,0.2913298061191973
061-02,first,0.24631006910096004
061-03,first,0.2561507288408028
062-01,first,0.24075355360135947
062-02,first,0.14062455524468756
062-03,first,0.16205002141749777
063-01,first,0.049063154284183154
063-02,first,0.049349663977163796
063-03,first,0.04937397596200935
064-01,first,0.07499393541487294
064-02,first,0.08858908965825284
064-03,first,0.08850565453387073
065-01,first,0.07701903689111989
065-02,first,0.07796940308113261
065-03,first,0.0780715247059058
066-01,first,0.04365904762554352
066-02,first,0.021588422841486096
066-03,first,0.025275743163269953
067-01,first,
068-01,first,0.08310256571066003
068-02,first,0.08161856159171761
068-03,first,0.07521266648009782
069-01,first,0.27837060875246983
070-01,first,0.0033387518637102527
070-02,first,0.004115425218982385
070-03,first,0.004015271285599894
071-01,first,0.22804678810840967
071-02,first,0.15516306293831816
071-03,first,0.14820279583709456
072-01,first,0.07769126884607888
072-02,first,0.11249789374949017
073-01,first,0.15299273947029576
073-02,first,0.14607682486909346
074-01,first,0.11610425790084729
074-02,first,0.11445038451293635
074-03,first,0.11432876908852353
075-01,first,0.15776709413908294
075-02,first,0.16692092304531364
076-01,first,0.004720853915058876
077-01,first,0.034580982958092074
078-01,first,0.12201049584943784
078-02,first,0.26856036646490283
078-03,first,0.4151044866344429
079-01,first,0.15903358990556224
079-02,first,0.284971853216696
080-01,first,0.09431090163189787
080-02,first,0.10607464435639254
080-03,first,0.15267442939185016
081-01,first,0.01788928558297623
081-02,first,0.022449655004577473
081-03,first,0.06293847630727246
082-01,first,0.002095559685067615
082-02,first,0.003240732248016325
