flight,clip_type,clip_start_vid,clip_start_log,launch_lat,launch_lon,launch_alt,clip_start_lat,clip_start_lon,clip_start_ascent,launch-group_bear
001-01,first,254000.0,238100.0,0.0712982061176619,36.9597190631806,1800.5053066161802,0.0705927133516139,36.9624158578108,87.8000028096,104.56633101769799
002-01,first,204000.0,185700.0,0.069260889953172,36.9624021011956,1801.8420986589333,0.0668958715673137,36.9652088118152,88.3000028256,129.92898158867533
003-01,first,107000.0,96850.0,0.0692644492478215,36.9623954143999,1811.045883153476,0.0706154315623839,36.9637678177134,86.500002768,45.643021848390944
004-01,first,0.0,624300.0,0.0607091997939794,36.9426066537212,1794.822201034301,0.0586390537120272,36.9415064844588,74.9000023968,208.1479671445602
005-01,first,164000.0,146600.0,0.0621055331178673,36.9336233087656,1788.745540639869,0.0644066047128801,36.9299520014051,80.9000025888,301.90541427375763
006-01,first,145000.0,136900.0,0.0621205161852688,36.9336338018285,1788.6721519374923,0.0642864566371071,36.9306332997083,86.7000027744,305.64156063794803
007-01,first,151000.0,146450.0,0.0637860710939868,36.9221976833989,1792.247030051913,0.0613062177951788,36.9226583641283,86.3000027616,169.4068468227044
008-01,first,117000.0,104566.66666666667,0.0656895062273718,36.9677207659382,1806.8128019179944,0.0650334963893834,36.9654241451312,85.4000027328,254.1598065415185
009-01,first,126000.0,118150.0,0.0670574093100021,36.965817292227,1804.373470839948,0.069547777984658,36.9644555469302,88.50000283199999,331.1676791945194
010-01,first,209000.0,216250.0,0.0697281862901696,36.9622651754465,1803.098080199137,0.0686216121907403,36.9583145405266,100.0000032,254.45208306231655
011-01,first,155000.0,150800.0,0.0603317509717302,36.9454250860028,1796.13555547633,0.0594517319207483,36.9434346090934,98.8000031616,246.2910700492148
012-01,first,160000.0,163200.0,0.0606052534420595,36.9419011656779,1794.7372400315949,0.0631607714723344,36.9398447403939,100.1000032032,320.98828154263464
013-01,first,102000.0,179450.0,0.355592288340235,36.9193426007016,1678.4293750097406,0.354851324318106,36.9181431830436,85.4000027328,238.46480330127054
014-01,first,208000.0,205950.0,0.369206399489052,36.9087390386624,1653.912650625213,0.36921005190706,36.9108277154553,85.9000027488,89.9004702702036
015-01,first,165000.0,169600.0,0.359840963403469,36.8940277429413,1760.8208571462744,0.362802632996108,36.893758955954,89.20000285440001,354.7796638918308
016-01,first,124000.0,122366.66666666667,0.303913810220721,36.8942110784731,1710.999566451976,0.303211542560733,36.8960245390359,85.500002736,111.04002464453728
017-01,first,513000.0,517000.0,0.368327474062397,36.910457119392,1659.104911491369,0.369821230657503,36.9085996023632,74.4000023808,308.61793023525263
018-01,first,0.0,77400.0,0.359801264423224,36.8939980972101,1761.0040846521376,0.361001374375215,36.8926806194585,75.8000024256,312.1398988154954
019-01,first,348000.0,354250.0,0.357672391222395,36.8938414477832,1771.1018632752446,0.356149319762146,36.8926112885758,86.60000277120001,219.11492877481754
021-01,first,203000.0,180000.0,0.312134026836451,36.8829007450628,1768.176814381671,0.3082072561337,36.883870210741,75.8000024256,166.04216429681466
022-01,first,0.0,122800.0,0.274939067292446,36.8768544091374,1799.1882899740187,0.270297462489765,36.878319074268,76.000002432,162.37627295965294
023-01,first,146000.0,142850.0,0.320252404731363,36.8777205112554,1806.0072598922416,0.319962855922838,36.8802313082747,75.90000242880001,96.53481379972207
024-01,first,123000.0,121500.0,0.336762723091234,36.8716583417738,1782.957332454622,0.337071523818619,36.876172095463,74.6000023872,86.11234361303502
025-01,first,204000.0,201400.0,0.352654472646933,36.8960321455987,1769.1527666128866,0.355145419990792,36.8988470913195,85.4000027328,48.68472083571775
025-02,first,222000.0,216800.0,0.352651647486192,36.8960394067151,1769.145442312656,0.355672265968644,36.8991907206926,85.9000027488,46.404761330936715
025-03,first,260000.0,263400.0,0.352660252263499,36.8960305602456,1769.1563066130002,0.355226076919793,36.9007845443158,98.9000031648,61.803416764481064
026-01,first,100000.0,98400.0,0.363429696039038,36.8965340851936,1739.8850654763107,0.363244101581364,36.8948243076735,74.50000238400001,263.8458970107332
026-02,first,149000.0,167600.0,0.363433179524146,36.8965435733696,1739.7831367730514,0.363419546578624,36.895187882174,75.7000024224,269.4276975624078
027-01,first,95000.0,91450.0,0.355542370226524,36.919351179213,1678.3069385058106,0.357117394118794,36.9215773689226,75.500002416,54.9013986817299
028-01,first,128000.0,125350.0,0.339217159749596,36.9100307862528,1646.2947303814394,0.336844940193092,36.9112062127694,78.70000251840001,153.48873181186335
